[Mon May 04 15:34:47 CEST 2026][INFO] DisplayModes: 387 (Fenster.java:203)
[Mon May 04 15:34:47 CEST 2026][INFO] 1: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 2: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 3: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 4: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 5: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 6: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 7: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 8: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 9: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 10: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 11: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 12: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 13: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 14: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 15: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 16: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 17: Breite: 640, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 18: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 19: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 20: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 21: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 22: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 23: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 24: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 25: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 26: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 27: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 28: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 29: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 30: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 31: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 32: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 33: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 34: Breite: 720, Höhe: 480 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 35: Breite: 720, Höhe: 576 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 36: Breite: 720, Höhe: 576 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 37: Breite: 720, Höhe: 576 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 38: Breite: 720, Höhe: 576 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 39: Breite: 720, Höhe: 576 (Fenster.java:206)
